Date,Open,High,Low,Close,Adj Close,Volume
2017-03-08,16.931999,17.305500,16.732800,16.807501,16.807501,447665
2017-03-09,16.931999,17.430000,16.931999,17.181000,17.181000,357833
2017-03-10,16.931999,17.230801,16.931999,17.181000,17.181000,870964
2017-03-13,17.927999,17.927999,16.931999,17.056499,17.056499,273325
2017-03-14,16.931999,17.330400,16.931999,17.430000,17.430000,65743
2017-03-15,16.931999,17.330400,16.745800,17.430000,17.430000,221153
2017-03-16,16.931999,17.181000,16.732800,16.807501,16.807501,145205
2017-03-17,17.181000,17.280600,16.931999,17.430000,17.430000,54369
2017-03-20,17.181000,17.529600,17.181000,17.305500,17.305500,456147
2017-03-21,17.679001,18.027599,17.368299,17.803499,17.803499,140981
2017-03-22,17.430000,18.127199,17.405100,18.052500,18.052500,237641
2017-03-23,17.679001,17.903099,17.430000,17.803499,17.803499,128277
2017-03-24,17.430000,17.617300,16.931999,17.181000,17.181000,165691
2017-03-27,18.426001,18.426001,16.583401,16.931999,16.931999,888991
2017-03-28,17.679001,18.426001,16.807501,18.426001,18.426001,191831
2017-03-29,17.679001,18.177000,17.430000,18.052500,18.052500,405266
2017-03-30,18.426001,18.426001,17.866301,18.177000,18.177000,252999
2017-03-31,18.177000,18.226801,17.866301,17.803499,17.803499,90176
2017-04-03,18.426001,18.699900,17.430000,17.679001,17.679001,434833
2017-04-04,17.679001,17.679001,17.430000,17.430000,17.430000,406905
2017-04-05,17.679001,17.977800,17.344400,18.052500,18.052500,201978
2017-04-06,17.679001,17.977800,17.430000,17.679001,17.679001,264566
2017-04-07,17.679001,18.226801,17.479799,18.052500,18.052500,332418
2017-04-10,17.927999,18.239799,17.679001,18.052500,18.052500,229991
2017-04-11,17.679001,18.301500,17.679001,18.052500,18.052500,141755
2017-04-12,17.927999,18.177000,17.679001,17.927999,17.927999,277742
2017-04-13,17.927999,18.301500,17.927999,17.927999,17.927999,147006
2017-04-18,18.426001,19.422001,18.027599,19.297501,19.297501,922083
2017-04-19,19.422001,20.667000,18.899099,19.920000,19.920000,1292583
2017-04-20,20.916000,20.916000,20.069401,20.542500,20.542500,512924
2017-04-21,20.417999,21.264601,20.417999,20.916000,20.916000,253207
2017-04-24,20.916000,21.663000,20.575399,20.667000,20.667000,663840
2017-04-25,20.417999,20.667000,19.564400,19.671000,19.671000,506368
2017-04-26,19.720800,20.356300,19.646099,20.044500,20.044500,108213
2017-04-27,19.422001,20.417999,19.422001,19.920000,19.920000,258429
2017-04-28,20.169001,21.912001,19.920000,21.538500,21.538500,479951
2017-05-02,21.912001,22.878099,20.916000,22.534500,22.534500,374891
2017-05-03,22.908001,23.127100,21.663000,21.663000,21.663000,423637
2017-05-04,22.659000,22.721800,21.912001,22.534500,22.534500,100523
2017-05-05,22.160999,22.659000,21.414000,21.663000,21.663000,432612
2017-05-08,21.165001,21.638100,20.916000,21.040501,21.040501,145282
2017-05-09,20.417999,20.866199,18.924000,19.546499,19.546499,244498
2017-05-10,18.924000,21.165001,18.924000,20.667000,20.667000,381157
2017-05-11,20.231800,20.854300,20.019600,20.667000,20.667000,150208
2017-05-12,21.165001,21.453899,20.417999,20.916000,20.916000,337247
2017-05-15,20.916000,21.227800,20.169001,21.040501,21.040501,37624
2017-05-16,21.414000,21.912001,20.542500,21.289499,21.289499,339726
2017-05-17,21.414000,21.850300,21.414000,21.663000,21.663000,161848
2017-05-18,22.160999,22.410000,21.414000,21.538500,21.538500,186387
2017-05-19,21.289499,21.812401,21.289499,21.414000,21.414000,56170
2017-05-22,20.916000,21.214800,20.649099,21.165001,21.165001,191398
2017-05-23,20.916000,21.663000,20.667000,21.165001,21.165001,184577
2017-05-24,21.601299,21.663000,20.791500,21.165001,21.165001,145864
2017-05-25,21.912001,22.908001,21.601299,22.410000,22.410000,511176
2017-05-26,22.908001,23.593300,22.160999,22.783501,22.783501,678613
2017-05-30,23.903999,24.900000,23.530500,24.526501,24.526501,901297
2017-05-31,24.650999,25.298401,24.315399,24.277500,24.277500,618517
2017-06-01,24.650999,25.149000,24.202801,24.028500,24.028500,372258
2017-06-02,24.402000,24.900000,23.655001,23.903999,23.903999,373001
2017-06-05,25.149000,26.317301,24.227699,24.402000,24.402000,954820
2017-06-06,23.903999,24.800400,23.018600,24.028500,24.028500,523987
2017-06-07,24.650999,24.850201,23.406000,23.903999,23.903999,290676
2017-06-08,24.650999,24.900000,24.103201,24.900000,24.900000,180004
2017-06-09,24.900000,24.900000,24.153000,24.900000,24.900000,459470
2017-06-12,23.655001,24.650999,23.157000,23.530500,23.530500,493712
2017-06-13,23.406000,23.842300,21.414000,22.783501,22.783501,401377
2017-06-14,22.160999,24.003599,22.160999,23.779499,23.779499,297197
2017-06-15,24.153000,24.153000,23.032499,23.281500,23.281500,58521
2017-06-16,23.655001,24.043501,23.593300,24.028500,24.028500,32496
2017-06-19,23.779499,24.301399,23.181900,23.406000,23.406000,73367
2017-06-20,22.908001,22.908001,22.908001,23.157000,23.157000,9492
2017-06-21,22.659000,22.659000,22.659000,23.157000,23.157000,100
2017-06-22,22.908001,22.908001,22.908001,22.908001,22.908001,12521
2017-06-23,23.903999,23.903999,22.410000,22.783501,22.783501,70841
2017-06-26,22.410000,22.798500,21.912001,21.912001,21.912001,449650
2017-06-27,22.160999,22.997700,21.912001,22.410000,22.410000,351271
2017-06-28,23.406000,22.970800,22.260599,22.534500,22.534500,196362
2017-06-29,21.912001,21.912001,20.417999,21.165001,21.165001,656498
2017-06-30,20.169001,21.339300,20.169001,21.040501,21.040501,359077
2017-07-03,20.667000,21.115200,20.667000,21.289499,21.289499,187505
2017-07-04,21.414000,21.414000,20.467800,20.916000,20.916000,114083
2017-07-05,20.716801,20.916000,20.119200,20.791500,20.791500,173861
2017-07-06,21.165001,21.165001,20.542500,20.417999,20.417999,139941
2017-07-07,20.417999,21.227800,20.417999,21.040501,21.040501,90745
2017-07-10,20.417999,20.417999,20.417999,20.667000,20.667000,277559
2017-07-11,20.667000,20.667000,20.667000,20.667000,20.667000,0
2017-07-12,21.414000,22.721800,20.916000,22.410000,22.410000,698515
2017-07-13,22.908001,22.908001,21.762600,21.663000,21.663000,107573
2017-07-14,21.165001,22.410000,21.165001,21.663000,21.663000,19579
2017-07-17,22.160999,22.160999,22.160999,22.160999,22.160999,94554
2017-07-18,22.160999,22.160999,21.513599,21.165001,21.165001,83866
2017-07-19,20.417999,21.414000,20.417999,20.916000,20.916000,224391
2017-07-20,21.414000,21.974800,20.926001,20.916000,20.916000,1007668
2017-07-21,21.165001,21.414000,20.605301,20.916000,20.916000,301108
2017-07-24,21.414000,22.908001,21.314400,22.036501,22.036501,1476576
2017-07-25,21.414000,22.410000,21.414000,21.912001,21.912001,180027
2017-07-26,22.410000,25.398001,22.036501,23.157000,23.157000,989543
2017-07-27,24.402000,24.900000,23.655001,24.277500,24.277500,944881
2017-07-28,23.903999,24.501600,23.655001,24.153000,24.153000,391523
2017-07-31,24.153000,24.501600,23.655001,24.402000,24.402000,206937
2017-08-01,24.900000,25.149000,24.402000,24.402000,24.402000,423318
2017-08-02,25.398001,25.398001,24.352200,24.402000,24.402000,131849
2017-08-03,23.903999,24.153000,23.903999,24.650999,24.650999,161660
2017-08-04,23.903999,25.323299,23.903999,24.650999,24.650999,359559
2017-08-07,25.646999,28.884001,24.402000,27.265499,27.265499,2005793
2017-08-08,27.639000,27.639000,26.892000,27.265499,27.265499,889975
2017-08-09,26.892000,27.639000,26.892000,27.265499,27.265499,409792
2017-08-10,26.892000,27.389999,26.892000,27.141001,27.141001,507942
2017-08-11,26.892000,27.414900,26.892000,27.265499,27.265499,555077
2017-08-14,27.141001,28.386000,27.141001,28.386000,28.386000,878316
2017-08-15,27.639000,28.884001,27.439800,28.261499,28.261499,532642
2017-08-16,27.639000,28.635000,27.639000,27.888000,27.888000,411689
2017-08-17,27.639000,28.386000,27.639000,27.888000,27.888000,369529
2017-08-18,27.639000,28.136999,27.141001,27.639000,27.639000,267026
2017-08-21,28.136999,28.884001,27.888000,28.261499,28.261499,302733
2017-08-22,27.888000,31.623100,27.888000,30.502501,30.502501,2116172
2017-08-23,31.374100,40.288300,31.166901,38.346100,38.346100,4091376
2017-08-24,39.840099,41.234501,33.366100,34.611099,34.611099,3205270
2017-08-25,33.864101,35.233601,29.879999,31.747601,31.747601,3176878
2017-08-29,31.374100,31.872101,30.211700,31.623100,31.623100,468267
2017-08-30,31.125099,32.121101,30.876101,31.498600,31.498600,251613
2017-08-31,30.876101,32.121101,30.378000,31.125099,31.125099,327843
2017-09-01,32.619099,36.852100,32.270500,36.229599,36.229599,2761660
2017-09-04,37.350101,40.537300,35.955700,38.595100,38.595100,2219996
2017-09-05,40.338100,42.429699,38.589100,40.213600,40.213600,2008530
2017-09-06,39.840099,42.828098,38.954601,42.205601,42.205601,608033
2017-09-07,43.077099,46.812099,42.330101,44.322102,44.322102,2346335
2017-09-08,46.812099,49.551102,45.218498,47.808102,47.808102,2655052
2017-09-11,48.306099,58.166500,47.170700,55.776100,55.776100,4309399
2017-09-12,56.523102,61.503201,45.816101,50.298100,50.298100,4584860
2017-09-13,51.543098,53.784100,42.927700,51.792099,51.792099,3551432
2017-09-14,52.788101,56.523102,51.592899,51.792099,51.792099,1433018
2017-09-15,51.543098,51.792099,47.038200,48.057098,48.057098,1697247
2017-09-18,49.800098,51.792099,48.306099,50.298100,50.298100,621461
2017-09-19,52.788101,54.531101,51.169601,54.033100,54.033100,1104529
2017-09-20,54.531101,57.332901,52.290100,55.776100,55.776100,1341648
2017-09-21,55.776100,55.866798,51.941502,54.406601,54.406601,623805
2017-09-22,54.780102,55.776100,50.423599,51.667599,51.667599,598299
2017-09-25,51.045101,51.792099,46.314098,46.812099,46.812099,1048170
2017-09-26,45.816101,48.804100,42.828098,47.683601,47.683601,1080549
2017-09-27,48.306099,48.306099,45.318100,45.318100,45.318100,322952
2017-09-28,48.555099,48.555099,41.086102,42.081100,42.081100,1288978
2017-09-29,41.832100,50.796101,39.342098,47.310101,47.310101,2391655
2017-10-02,48.057098,48.430599,46.065102,46.314098,46.314098,1204673
2017-10-03,46.065102,46.314098,43.824100,44.571098,44.571098,459944
2017-10-04,44.820099,44.820099,43.326099,44.571098,44.571098,326440
2017-10-05,43.824100,44.441601,42.019299,43.077099,43.077099,473642
2017-10-06,42.579102,45.069099,42.330101,44.322102,44.322102,348265
2017-10-09,45.069099,45.629799,43.824100,45.442600,45.442600,557502
2017-10-10,45.567101,45.816101,44.281300,44.322102,44.322102,485293
2017-10-11,44.820099,44.944599,43.824100,44.571098,44.571098,229240
2017-10-12,44.571098,45.567101,43.824100,44.571098,44.571098,525467
2017-10-13,45.069099,45.816101,43.924702,45.816101,45.816101,250032
2017-10-16,45.816101,46.812099,44.465500,45.816101,45.816101,495488
2017-10-17,45.816101,48.057098,44.820099,48.057098,48.057098,411164
2017-10-18,47.559101,49.800098,46.065102,49.800098,49.800098,1390405
2017-10-19,49.800098,49.800098,44.979500,45.567101,45.567101,1390422
2017-10-20,46.563099,47.708500,44.820099,45.816101,45.816101,617005
2017-10-23,45.069099,47.808102,44.073101,44.820099,44.820099,723399
2017-10-24,45.816101,46.314098,43.824100,43.824100,43.824100,430001
2017-10-25,43.824100,45.318100,42.330101,42.330101,42.330101,673228
2017-10-26,42.828098,43.575100,38.844101,41.583099,41.583099,1269205
2017-10-27,42.330101,42.828098,40.338100,41.707600,41.707600,445146
2017-10-30,40.836102,43.824100,40.836102,40.836102,40.836102,599125
2017-10-31,42.828098,42.828098,40.039299,40.089100,40.089100,834532
2017-11-01,42.828098,42.828098,40.039299,40.836102,40.836102,159396
2017-11-02,40.089100,42.130901,40.089100,41.832100,41.832100,297922
2017-11-03,41.832100,44.820099,41.085098,44.322102,44.322102,1066522
2017-11-06,45.816101,45.816101,42.330101,43.948601,43.948601,598740
2017-11-07,45.816101,45.816101,42.517300,43.575100,43.575100,246988
2017-11-08,42.330101,44.521301,41.832100,42.330101,42.330101,480246
2017-11-09,42.579102,44.073101,41.531300,41.583099,41.583099,781433
2017-11-10,41.832100,45.318100,40.836102,42.828098,42.828098,1346030
2017-11-13,43.824100,43.824100,41.334099,42.828098,42.828098,556061
2017-11-14,41.334099,42.349998,40.836102,41.583099,41.583099,383603
2017-11-15,40.587101,42.579102,39.367001,40.338100,40.338100,387236
2017-11-16,39.840099,41.274300,39.601002,40.462601,40.462601,418044
2017-11-17,40.836102,41.583099,40.138901,41.707600,41.707600,185452
2017-11-20,39.840099,39.840099,39.840099,39.840099,39.840099,4879
2017-11-21,39.342098,39.840099,35.856098,37.350101,37.350101,1268702
2017-11-22,37.350101,37.350101,35.856098,37.599098,37.599098,824910
2017-11-23,37.848099,37.848099,36.852100,39.342098,39.342098,281396
2017-11-24,38.844101,39.840099,38.097099,38.097099,38.097099,303666
2017-11-27,38.097099,38.097099,35.856098,37.101101,37.101101,853011
2017-11-28,35.856098,36.354099,34.860100,35.980598,35.980598,689551
2017-11-29,34.860100,35.358101,32.868099,34.113098,34.113098,2894813
2017-11-30,34.860100,39.342098,34.860100,37.599098,37.599098,944243
2017-12-01,37.350101,37.350101,36.105099,37.350101,37.350101,1220132
2017-12-04,36.852100,37.599098,35.856098,37.848099,37.848099,775583
2017-12-05,37.848099,37.848099,36.852100,37.599098,37.599098,319816
2017-12-06,35.856098,38.844101,35.856098,37.723598,37.723598,256050
2017-12-07,36.852100,36.852100,35.358101,35.856098,35.856098,483413
2017-12-08,36.603100,38.595100,36.354099,37.474602,37.474602,819189
2017-12-11,38.595100,38.595100,36.105099,37.723598,37.723598,315123
2017-12-12,37.599098,38.844101,36.852100,37.350101,37.350101,350852
2017-12-13,37.848099,38.505402,35.856098,36.852100,36.852100,609586
2017-12-14,37.599098,37.848099,36.603100,37.225601,37.225601,230586
2017-12-15,37.848099,37.848099,36.603100,37.350101,37.350101,291041
2017-12-18,36.603100,36.852100,36.603100,36.976601,36.976601,351501
2017-12-19,38.097099,39.342098,37.350101,37.350101,37.350101,578441
